GoldenTweaks Silent Gear 材料属性列表
材料总数：394
说明：已应用材料属性列表_新材料已添加.xlsx G 列批注。

短ID	材料ID	显示名称	护甲值	挖掘速度	攻击力	原批注
prismarine_shard	goldentweaks:compat/minecraft/prismarine_shard	Prismarine Shard	9.89	4.79	2.102	增强2倍
pure_azurite	goldentweaks:compat/spectrum/pure_azurite	Pure Azurite	68.208	42.864	17.178	增强6倍
pure_bloodstone	goldentweaks:compat/spectrum/pure_bloodstone	Pure Bloodstone	76.128	49.512	19.608	增强6倍
pure_certus_quartz	goldentweaks:compat/spectrum/pure_certus_quartz	Pure Certus Quartz	30.138	18.219	7.401	增强3倍
pure_coal	goldentweaks:compat/spectrum/pure_coal	Pure Coal	36.63	23.538	9.36	增强3倍
pure_copper	goldentweaks:compat/spectrum/pure_copper	Pure Copper	32.664	20.25	8.154	增强3倍
pure_diamond	goldentweaks:compat/spectrum/pure_diamond	Pure Diamond	67.854	52.884	19.659	增强3倍
pure_echo	goldentweaks:compat/spectrum/pure_echo	Pure Echo	32.463	20.088	8.094	增强3倍
pure_emerald	goldentweaks:compat/spectrum/pure_emerald	Pure Emerald	33.228	20.712	8.325	增强3倍
pure_fluix	goldentweaks:compat/spectrum/pure_fluix	Pure Fluix	32.442	20.07	8.088	增强3倍
pure_glowstone	goldentweaks:compat/spectrum/pure_glowstone	Pure Glowstone	37.119	23.952	9.51	增强3倍
pure_gold	goldentweaks:compat/spectrum/pure_gold	Pure Gold	33	20.523	8.253	增强3倍
pure_iron	goldentweaks:compat/spectrum/pure_iron	Pure Iron	34.362	21.642	8.667	增强3倍
pure_lapis	goldentweaks:compat/spectrum/pure_lapis	Pure Lapis	32.751	20.322	8.181	增强3倍
pure_malachite	goldentweaks:compat/spectrum/pure_malachite	Pure Malachite	72.558	46.482	18.504	增强6倍
pure_netherite_scrap	goldentweaks:compat/spectrum/pure_netherite_scrap	Pure Netherite Scrap	87.039	73.338	26.532	增强3倍
pure_prismarine	goldentweaks:compat/spectrum/pure_prismarine	Pure Prismarine	13.419	6.297	2.793	增强3倍
pure_quartz	goldentweaks:compat/spectrum/pure_quartz	Pure Quartz	30.549	18.546	7.524	增强3倍
pure_redstone	goldentweaks:compat/spectrum/pure_redstone	Pure Redstone	34.509	21.765	8.712	增强3倍
pure_zinc	goldentweaks:compat/spectrum/pure_zinc	Pure Zinc	35.982	22.992	9.162	增强3倍
purified_data	goldentweaks:compat/ae2cs/purified_data	Purified Data Crystal	18.627	13.662	5.187	
purified_ember	goldentweaks:compat/ae2cs/purified_ember	Purified Ember Crystal	18.187	13.24	5.04	
purified_energized_fluix	goldentweaks:compat/ae2cs/purified_energized_fluix	Purified Energized Fluix Crystal	33.258	29.246	10.424	
purified_entro	goldentweaks:compat/ae2cs/purified_entro	Purified Entro Crystal	36.18	26.294	10.016	
purified_fluix	goldentweaks:compat/ae2cs/purified_fluix	Purified Fluix Crystal	17.228	12.33	4.722	
purified_irradiated	goldentweaks:compat/ae2cs/purified_irradiated	Purified Irradiated Crystal	30.09	20.642	8.022	
purified_link	goldentweaks:compat/ae2cs/purified_link	Purified Link Crystal	18.757	13.787	5.231	
purified_meteor	goldentweaks:compat/ae2cs/purified_meteor	Purified Meteor Crystal	15.724	10.937	4.23	
purified_redstone	goldentweaks:compat/ae2cs/purified_redstone	Purified Redstone Crystal	17.819	12.889	4.918	
purified_resonating	goldentweaks:compat/ae2cs/purified_resonating	Purified Resonating Crystal	45.579	31.362	12.177	
pyrium_ingot	goldentweaks:compat/irons_spellbooks/pyrium_ingot	Pyrium Ingot	122.68	78.95	31.38	增强10倍
pyro_spellweave_ingot	goldentweaks:compat/traveloptics/pyro_spellweave_ingot	Pyro Spellweave Ingot	不适用	不适用	不适用	
quark_ingot	goldentweaks:compat/avaritia_more_items/quark_ingot	Quark Ingot	300	290	100	最顶级材料，增强至最大值
rabbit_hide	goldentweaks:compat/minecraft/rabbit_hide	Rabbit Hide	不适用	不适用	不适用	
rainbow_birch	goldentweaks:compat/biomesoplenty/rainbow_birch	Rainbow Birch Leaves	不适用	不适用	不适用	
red_maple	goldentweaks:compat/biomesoplenty/red_maple	Red Maple Leaves	不适用	不适用	不适用	
red_shaft	goldentweaks:compat/iss_magicfromtheeast/red_shaft	Red Shaft	10.032	7.531	2.837	削弱50%
red_string	goldentweaks:compat/iss_magicfromtheeast/red_string	Red String	9.136	6.66	2.534	削弱50%
reddateleave_fruiting	goldentweaks:compat/flavor_immersed_daily/reddateleave_fruiting	Red Date Leaves	不适用	不适用	不适用	
redstone_ingot	goldentweaks:compat/extendedcrafting/redstone_ingot	Redstone Ingot	11.209	7.012	2.815	
redtea	goldentweaks:compat/flavor_immersed_daily/redtea	Red Tea Leaves	不适用	不适用	不适用	
redwood	goldentweaks:compat/biomesoplenty/redwood	Redwood Leaves	不适用	不适用	不适用	
reed	goldentweaks:compat/biomesoplenty/reed	Reed	不适用	不适用	不适用	
resonance	goldentweaks:compat/spectrum/resonance	Resonance Shard	22.913	17.93	6.656	
resplendent_feather	goldentweaks:compat/spectrum/resplendent_feather	Resplendent Feather	不适用	不适用	不适用	
root	goldentweaks:compat/flavor_immersed_daily/root	Lotus Root	不适用	不适用	不适用	
rope	goldentweaks:compat/create/rope	Rope	不适用	不适用	不适用	
rose_gold	goldentweaks:compat/hazennstuff/rose_gold	Rose Gold Ingot	12.363	7.976	3.167	
runestone_fragments	goldentweaks:compat/hazennstuff/runestone_fragments	Runestone Fragments	11.189	6.996	2.809	
sag	goldentweaks:compat/spectrum/sag	Sag Leaf	不适用	不适用	不适用	
scarlet_zhuhua	goldentweaks:compat/touhou_little_maid_spell/scarlet_zhuhua	Scarlet Zhuhua	13.125	8.627	3.404	
scoria	goldentweaks:compat/create/scoria	Scoria	4.805	2.306	1.015	
scrap_box	goldentweaks:compat/mekmm/scrap_box	Scrap Box	12.418	8.022	3.184	
shadow_imbued_cloth	goldentweaks:compat/taintedmagic/shadow_imbued_cloth	Shadow Imbued Cloth	不适用	不适用	不适用	
shadow_metal_ingot	goldentweaks:compat/taintedmagic/shadow_metal_ingot	Shadow Metal Ingot	27.188	24.562	8.672	削弱25%
shadow_scale	goldentweaks:compat/hazennstuff/shadow_scale	Shadow Scale	12.572	8.153	3.232	
shale	goldentweaks:compat/spectrum/shale	Shale Clay	5.154	2.529	1.105	
shard	goldentweaks:compat/thaumic_tinkerer/shard	Nether Shard	17.54	11.12	4.443	
shimmerstone	goldentweaks:compat/spectrum/shimmerstone	Shimmerstone Gem	16.371	10.156	4.089	
shulker_shell	goldentweaks:compat/minecraft/shulker_shell	Shulker Shell	不适用	不适用	不适用	
silk	goldentweaks:compat/biomesoplenty/silk	Glowworm Silk	不适用	不适用	不适用	
silver_scraps	goldentweaks:compat/hazennstuff/silver_scraps	Silver Scraps	11.515	7.265	2.907	
silverwood	goldentweaks:compat/thaumcraft/silverwood	Silverwood Log	6.28	3.277	1.401	
sky_stone	goldentweaks:compat/ae2/sky_stone	Sky Stone	5.082	2.482	1.086	
slate	goldentweaks:compat/spectrum/slate	Slate Noxcap Block	4.403	2.056	0.914	
slate_nox	goldentweaks:compat/spectrum/slate_nox	Slate Noxcap Stem	3.712	1.643	0.744	
slime_ball	goldentweaks:compat/minecraft/slime_ball	Slime Ball	不适用	不适用	不适用	
sloth	goldentweaks:compat/forbiddenmagic/sloth	Sloth Shard	29.973	19.15	7.63	
smoky_quartz	goldentweaks:compat/thaumic_tinkerer/smoky_quartz	Smoky Quartz	11.48	7.236	2.897	
snowblossom	goldentweaks:compat/biomesoplenty/snowblossom	Snowblossom Leaves	不适用	不适用	不适用	
sodium_catalyst	goldentweaks:compat/northstar/sodium_catalyst	Sodium Catalyst	11.888	7.576	3.021	
solar_core	goldentweaks:compat/hazennstuff/solar_core	Solar Core	25.186	20.302	7.459	
solarwood	goldentweaks:compat/flavor_immersed_daily/solarwood	Solarwood Log	6.744	3.599	1.527	
spectral	goldentweaks:compat/spectrum/spectral	Spectral Shard	216.512	209.294	72.17	
spider_fang	goldentweaks:compat/hazennstuff/spider_fang	Spider Fang	不适用	不适用	不适用	
spirit_sallow	goldentweaks:compat/spectrum/spirit_sallow	Spirit Sallow Log	3.46	1.498	0.684	
star_fuel	goldentweaks:compat/avaritia/star_fuel	Star Fuel	11.753	7.463	2.98	
stardust	goldentweaks:compat/hazennstuff/stardust	Stardust	5.047	2.46	1.077	
stonebark	goldentweaks:compat/flavor_immersed_daily/stonebark	Stonebark Log	3.419	1.475	0.674	
storm_stone	goldentweaks:compat/spectrum/storm_stone	Storm Stone	18.192	8.58	3.8	
storm_weave	goldentweaks:compat/hazennstuff/storm_weave	Storm Weave	不适用	不适用	不适用	
stratine	goldentweaks:compat/spectrum/stratine	Stratine Gem	25.707	16.068	6.452	
straw	goldentweaks:compat/farmersdelight/straw	Straw	不适用	不适用	不适用	
strider_rock_shell	goldentweaks:compat/kaleidoscope_nether/strider_rock_shell	Strider Rock Shell	不适用	不适用	不适用	
substrate	goldentweaks:compat/mekanism/substrate	Substrate	12.679	8.244	3.265	
super_butter	goldentweaks:compat/createbuttercat/super_butter	Super Butter	不适用	不适用	不适用	
sweetmelonleave_fruiting	goldentweaks:compat/flavor_immersed_daily/sweetmelonleave_fruiting	Sweet Melon Leaves	不适用	不适用	不适用	
taint	goldentweaks:compat/forbiddenmagic/taint	Taint Shard	14.545	12.265	4.436	
tainted	goldentweaks:compat/forbiddenmagic/tainted	Tainted Log	10.115	6.128	2.487	
tainted_stone	goldentweaks:compat/forbiddenmagic/tainted_stone	Tainted Stone	13.289	8.769	3.455	
tainted_unbalanced	goldentweaks:compat/taintedmagic/tainted_unbalanced	Tainted Unbalanced Shard	14.918	12.681	4.574	
tangerineleave_fruiting	goldentweaks:compat/flavor_immersed_daily/tangerineleave_fruiting	Tangerine Leaves	不适用	不适用	不适用	
the_ultimate_ingot	goldentweaks:compat/extendedcrafting/the_ultimate_ingot	The Ultimate Ingot	500.885	484.188	166.962	增强2.5倍
tidyreed	goldentweaks:compat/flavor_immersed_daily/tidyreed	Washed reed leaves	不适用	不适用	不适用	
titanium_ingot	goldentweaks:compat/northstar/titanium_ingot	Titanium Ingot	35.382	22.491	8.979	增强3倍
topaz	goldentweaks:compat/spectrum/topaz	Topaz Shard	9.711	5.808	2.368	
tree_bark	goldentweaks:compat/farmersdelight/tree_bark	Tree Bark	不适用	不适用	不适用	
tungsten	goldentweaks:compat/neoecoae/tungsten	Tungsten Ingot	46.312	36.362	13.482	增强2倍
umbran	goldentweaks:compat/biomesoplenty/umbran	Umbran Log	3.317	1.418	0.65	
uu_matter	goldentweaks:compat/mekmm/uu_matter	Uu Matter	48.615	29.09	11.86	宝石，增强5倍
vegetal	goldentweaks:compat/spectrum/vegetal	Vegetal	9.003	5.639	2.262	削弱20%
venus_deep_stone	goldentweaks:compat/northstar/venus_deep_stone	Deep Venus Stone	4.209	1.938	0.866	
venus_stone	goldentweaks:compat/northstar/venus_stone	Venus Stone	5.177	2.543	1.111	
venus_vines	goldentweaks:compat/northstar/venus_vines	Venus Vines	不适用	不适用	不适用	
verdant_grace	goldentweaks:compat/flavor_immersed_daily/verdant_grace	Verdant Grace Log	3.206	1.356	0.624	
verdant_grace_fruiting	goldentweaks:compat/flavor_immersed_daily/verdant_grace_fruiting	Plum Leaves	不适用	不适用	不适用	
verdant_grace_fruiting_leaves_apricot	goldentweaks:compat/flavor_immersed_daily/verdant_grace_fruiting_leaves_apricot	Apricot Leaves	不适用	不适用	不适用	
verdant_grace_fruiting_leaves_cherry	goldentweaks:compat/flavor_immersed_daily/verdant_grace_fruiting_leaves_cherry	Cherry Leaves	不适用	不适用	不适用	
verdant_grace_fruiting_leaves_greenplum	goldentweaks:compat/flavor_immersed_daily/verdant_grace_fruiting_leaves_greenplum	Green Plum Leaves	不适用	不适用	不适用	
verdant_grace_fruiting_leaves_hawthorn	goldentweaks:compat/flavor_immersed_daily/verdant_grace_fruiting_leaves_hawthorn	Hawthorn Leaves	不适用	不适用	不适用	
verdant_grace_fruiting_leaves_loquat	goldentweaks:compat/flavor_immersed_daily/verdant_grace_fruiting_leaves_loquat	Loquat Leaves	不适用	不适用	不适用	
verdant_grace_fruiting_leaves_pomegranate	goldentweaks:compat/flavor_immersed_daily/verdant_grace_fruiting_leaves_pomegranate	Pomegranate Leaves	不适用	不适用	不适用	
verdant_spellweave_ingot	goldentweaks:compat/traveloptics/verdant_spellweave_ingot	Verdant Spellweave Ingot	不适用	不适用	不适用	
vineheart_timber	goldentweaks:compat/flavor_immersed_daily/vineheart_timber	Vineheart Timber Log	3.505	1.524	0.694	
void	goldentweaks:compat/cataclysm/void	Void Crystal	21.587	18.539	6.662	削弱30%
void_spellweave_ingot	goldentweaks:compat/traveloptics/void_spellweave_ingot	Void Spellweave Ingot	不适用	不适用	不适用	
void_steel_ingot	goldentweaks:compat/createvoidway/void_steel_ingot	Void Steel Ingot	45	43.5	15	
void_stone	goldentweaks:compat/cataclysm/void_stone	Void Stone	20.015	16.787	6.083	削弱30%
volt_core	goldentweaks:compat/hazennstuff/volt_core	Volt Core	13.39	8.857	3.486	
walnutleaves_fruiting	goldentweaks:compat/flavor_immersed_daily/walnutleaves_fruiting	Walnut Leaves	不适用	不适用	不适用	
warden_tendril	goldentweaks:compat/apothic_enchanting/warden_tendril	Warden Tendril	35.364	22.476	8.97	增强3倍
warped_unbalanced	goldentweaks:compat/taintedmagic/warped_unbalanced	Warped Unbalanced Shard	12.555	11.305	3.996	
warpwood	goldentweaks:compat/taintedmagic/warpwood	Warpwood Log	13.428	8.89	3.498	
water	goldentweaks:compat/thaumcraft/water	Water Shard	11.989	7.66	3.052	
webbing	goldentweaks:compat/biomesoplenty/webbing	Webbing	不适用	不适用	不适用	
weeping_gala	goldentweaks:compat/spectrum/weeping_gala	Weeping Gala Log	22	15	6	
wheat	goldentweaks:compat/flavor_immersed_daily/wheat	Wheat Milk	不适用	不适用	不适用	
white_sand	goldentweaks:compat/biomesoplenty/white_sand	White Sand	4.766	2.281	1.005	
willow	goldentweaks:compat/biomesoplenty/willow	Willow Log	3.418	1.474	0.674	
willow_vine	goldentweaks:compat/biomesoplenty/willow_vine	Willow Vine	不适用	不适用	不适用	
wilter	goldentweaks:compat/northstar/wilter	Wilter Log	3.635	1.599	0.726	
winterjujubeleave_fruiting	goldentweaks:compat/flavor_immersed_daily/winterjujubeleave_fruiting	Winter Jujube Leaves	不适用	不适用	不适用	
wisewood	goldentweaks:compat/hazennstuff/wisewood	Wisewood Log	3.562	1.556	0.708	
wither_rib	goldentweaks:compat/kaleidoscope_nether/wither_rib	Wither Rib	12.584	8.163	3.235	
witherite_ingot	goldentweaks:compat/cataclysm/witherite_ingot	Witherite Ingot	11.31	7.095	2.845	
wrath	goldentweaks:compat/forbiddenmagic/wrath	Wrath Shard	29.973	19.15	7.63	
yeast	goldentweaks:compat/bakeries/yeast	Bottle Yeast	不适用	不适用	不适用	
yellow_maple	goldentweaks:compat/biomesoplenty/yellow_maple	Yellow Maple Leaves	不适用	不适用	不适用	
yue_linglan	goldentweaks:compat/touhou_little_maid_spell/yue_linglan	Yue Linglan	13.115	8.618	3.4	
zenalite_ingot	goldentweaks:compat/hazennstuff/zenalite_ingot	Zenalite Ingot	49.383	30.69	12.348	增强4.5倍
