GoldenTweaks Silent Gear 材料属性列表
材料总数：629
说明：仅包含已由材料设计文档明确分类的当前材料；所有配方均使用设计指定的具体物品 ID；原批注已保留。

短ID	材料ID	显示名称	护甲值	挖掘速度	攻击力	原批注	材料类别	等级	语义偏移
verdant_grace_fruiting_leaves_loquat	goldentweaks:compat/flavor_immersed_daily/verdant_grace_fruiting_leaves_loquat	Loquat Leaves					工具树叶		偏高 0.39
verdant_grace_fruiting_leaves_pomegranate	goldentweaks:compat/flavor_immersed_daily/verdant_grace_fruiting_leaves_pomegranate	Pomegranate Leaves					工具树叶		偏低 0.37
verdant_grace_leaves	goldentweaks:compat/flavor_immersed_daily/verdant_grace_leaves	Verdant Grace Leaves					工具树叶		偏低 0.37
verdant_grace_planks	goldentweaks:compat/flavor_immersed_daily/verdant_grace_planks	Verdant Grace Planks	11.75	14.01	2.486		工具木材	1	偏高 0.04
vineheart_timber_leaves	goldentweaks:compat/flavor_immersed_daily/vineheart_timber_leaves	Vineheart Timber Leaves					工具树叶		偏低 0.40
vineheart_timber_planks	goldentweaks:compat/flavor_immersed_daily/vineheart_timber_planks	Vineheart Timber Planks	12.316	14.685	2.605		工具木材	1	偏高 0.44
walnutleaves_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/walnutleaves_fruiting_leaves	Walnut Leaves					工具树叶		偏低 0.46
winterjujubeleave_fruiting_leaves	goldentweaks:compat/flavor_immersed_daily/winterjujubeleave_fruiting_leaves	Winter Jujube Leaves					工具树叶		偏高 0.32
blood_staff_rod	goldentweaks:compat/forbiddenmagic/blood_staff_rod	Blood Staff Rod					杖柄	2	偏高 0.37
blood_wand_rod	goldentweaks:compat/forbiddenmagic/blood_wand_rod	Blood Wand Rod					杖柄	2	偏高 0.20
dreamwood_staff_rod	goldentweaks:compat/forbiddenmagic/dreamwood_staff_rod	Dreamwood Staff Rod					杖柄	2	偏高 0.36
dreamwood_wand_rod	goldentweaks:compat/forbiddenmagic/dreamwood_wand_rod	Dreamwood Wand Rod					杖柄	2	偏高 0.12
envy	goldentweaks:compat/forbiddenmagic/envy	Envy Shard					碎片	3	偏高 0.28
gluttony	goldentweaks:compat/forbiddenmagic/gluttony	Gluttony Shard					碎片	4	偏低 0.28
greed	goldentweaks:compat/forbiddenmagic/greed	Greed Shard					碎片	3	偏高 0.00
hexite_ingot	goldentweaks:compat/forbiddenmagic/hexite_ingot	Hexite Ingot	20	17.0	2.0		软金属	4	
infernal_wand_rod	goldentweaks:compat/forbiddenmagic/infernal_wand_rod	Infernal Wand Rod					杖柄	2	偏高 0.20
livingwood_wand_rod	goldentweaks:compat/forbiddenmagic/livingwood_wand_rod	Livingwood Wand Rod					杖柄	1	偏高 0.35
lust	goldentweaks:compat/forbiddenmagic/lust	Lust Shard					碎片	4	偏高 0.00
pride	goldentweaks:compat/forbiddenmagic/pride	Pride Shard					碎片	5	偏高 0.00
profane_wand_rod	goldentweaks:compat/forbiddenmagic/profane_wand_rod	Profane Wand Rod					杖柄	1	偏低 0.15
sloth	goldentweaks:compat/forbiddenmagic/sloth	Sloth Shard					碎片	4	偏高 0.28
taint	goldentweaks:compat/forbiddenmagic/taint	Taint Shard					碎片	2	偏低 0.18
tainted_leaves	goldentweaks:compat/forbiddenmagic/tainted_leaves	Tainted Leaves					魔法树叶		偏低 0.03
tainted_planks	goldentweaks:compat/forbiddenmagic/tainted_planks	Tainted Planks	9.298	6.437	1.967		魔法木材	1	偏低 0.28
tainted_stone	goldentweaks:compat/forbiddenmagic/tainted_stone	Tainted Stone	12.65	4.282	2.725		石头	4	偏低 0.22
tainted_wand_rod	goldentweaks:compat/forbiddenmagic/tainted_wand_rod	Tainted Wand Rod					杖柄	2	偏低 0.26
witchwood_staff_rod	goldentweaks:compat/forbiddenmagic/witchwood_staff_rod	Witchwood Staff Rod					杖柄	2	偏低 0.30
witchwood_wand_rod	goldentweaks:compat/forbiddenmagic/witchwood_wand_rod	Witchwood Wand Rod					杖柄	2	偏高 0.14
wrath	goldentweaks:compat/forbiddenmagic/wrath	Wrath Shard					碎片	3	偏低 0.28
chlorophyte_ingot	goldentweaks:compat/hazennstuff/chlorophyte_ingot	Chlorophyte Ingot	31.16	11.841	4.986		硬金属	5	
cloth_of_the_flamebearer	goldentweaks:compat/hazennstuff/cloth_of_the_flamebearer	Cloth of the Flamebearer					稀有革织	2	偏高 0.28
cosmic_gold_ingot	goldentweaks:compat/hazennstuff/cosmic_gold_ingot	Cosmic Gold Ingot	68	25.84	10.88		硬金属	8	
demonite_ingot	goldentweaks:compat/hazennstuff/demonite_ingot	Demonite Ingot	33.44	12.707	5.35		硬金属	5	
dreadsteel_ingot	goldentweaks:compat/hazennstuff/dreadsteel_ingot	Dreadsteel Ingot	33.44	12.707	5.35		硬金属	5	
frostbite_birch_planks	goldentweaks:compat/hazennstuff/frostbite_birch_planks	Frostbite Birch Planks	9.458	6.548	2.001		魔法木材	1	偏低 0.14
hallowed_ingot	goldentweaks:compat/hazennstuff/hallowed_ingot	Hallowed Ingot	34.88	13.254	5.581		硬金属	5	
overgrown_bone	goldentweaks:compat/hazennstuff/overgrown_bone	Overgrown Bone					手柄	2	偏高 0.50
rose_gold	goldentweaks:compat/hazennstuff/rose_gold	Rose Gold Ingot	10.76	9.146	1.076		软金属	2	
storm_weave	goldentweaks:compat/hazennstuff/storm_weave	Storm Weave					稀有革织	1	偏低 0.26
wisewood_leaves	goldentweaks:compat/hazennstuff/wisewood_leaves	Wisewood Leaves					魔法树叶		偏低 0.17
wisewood_planks	goldentweaks:compat/hazennstuff/wisewood_planks	Wisewood Planks	9.933	6.877	2.101		魔法木材	1	偏高 0.27
zenalite_bricks	goldentweaks:compat/hazennstuff/zenalite_bricks	Zenalite Bricks	12.229	4.139	2.634		石头	4	偏低 0.49
zenalite_ingot	goldentweaks:compat/hazennstuff/zenalite_ingot	Zenalite Ingot	56.6	21.508	9.056		硬金属	7	
blazum_ingot	goldentweaks:compat/igleelib/blazum_ingot	Blazum Ingot				覆层	金属覆层	3	
derium_ingot	goldentweaks:compat/igleelib/derium_ingot	Derium Ingot				覆层	金属覆层	3	
lavium_ingot	goldentweaks:compat/igleelib/lavium_ingot	Lavium Ingot				覆层	金属覆层	3	
modium_ingot	goldentweaks:compat/igleelib/modium_ingot	Modium Ingot				覆层	金属覆层	3	
arcane_ingot	goldentweaks:compat/irons_spellbooks/arcane_ingot	Arcane Ingot	27.52	10.458	4.403		硬金属	4	
bloody_vellum	goldentweaks:compat/irons_spellbooks/bloody_vellum	Bloody Vellum					革织	3	偏低 0.05
frosted_helve	goldentweaks:compat/irons_spellbooks/frosted_helve	Frosted Helve					手柄	4	偏高 0.26
frozen_bone	goldentweaks:compat/irons_spellbooks/frozen_bone	Frozen Bone					手柄	2	偏低 0.03
hogskin	goldentweaks:compat/irons_spellbooks/hogskin	Hogskin					革织	2	偏高 0.24
magic_cloth	goldentweaks:compat/irons_spellbooks/magic_cloth	Arcane Cloth					革织	3	偏低 0.30
mithril	goldentweaks:compat/irons_spellbooks/mithril	Mithril Ingot	34.52	13.118	5.523		硬金属	5	
mithril_weave	goldentweaks:compat/irons_spellbooks/mithril_weave	Mithril Weave					稀有革织	1	偏低 0.13
pyrium_ingot	goldentweaks:compat/irons_spellbooks/pyrium_ingot	Pyrium Ingot	59.0	22.42	9.44		硬金属	7	
red_shaft	goldentweaks:compat/iss_magicfromtheeast/red_shaft	Red Shaft				手柄	杖柄	1	偏高 0.25
red_string	goldentweaks:compat/iss_magicfromtheeast/red_string	Red String				线，有机物	线	4	偏低 0.00
refined_jade_ingot	goldentweaks:compat/iss_magicfromtheeast/refined_jade_ingot	Refined Jade Ingot	31.44	11.947	5.03		硬金属	5	
wither_rib	goldentweaks:compat/kaleidoscope_nether/wither_rib	Wither Rib				手柄	手柄	1	偏低 0.39
crushed_wool	goldentweaks:compat/mek_x_star/crushed_wool	Crushed Wool					革织	3	偏高 0.43
alloy_atomic	goldentweaks:compat/mekanism/alloy_atomic	Atomic Alloy	17.0	7.14	2.38		灌注合金	3	
alloy_infused	goldentweaks:compat/mekanism/alloy_infused	Infused Alloy	9.0	3.78	1.26		灌注合金	1	
alloy_reinforced	goldentweaks:compat/mekanism/alloy_reinforced	Reinforced Alloy	12.5	5.25	1.75		灌注合金	2	
hdpe_sheet	goldentweaks:compat/mekanism/hdpe_sheet	HDPE Sheet					革织	3	偏高 0.09
hdpe_stick	goldentweaks:compat/mekanism/hdpe_stick	PlaStick				手柄	手柄	2	偏低 0.03
alloy_radiance	goldentweaks:compat/mekanism_extras/alloy_radiance	Radiance Alloy	23.0	9.66	3.22		灌注合金	4	
alloy_shining	goldentweaks:compat/mekanism_extras/alloy_shining	Shining Alloy	42.0	17.64	5.88		超级灌注合金	2	
alloy_spectrum	goldentweaks:compat/mekanism_extras/alloy_spectrum	Spectrum Alloy	56.0	23.52	7.84		超级灌注合金	3	
alloy_thermonuclear	goldentweaks:compat/mekanism_extras/alloy_thermonuclear	Thermonuclear Alloy	31.0	13.02	4.34		超级灌注合金	1	
ingot_naquadah	goldentweaks:compat/mekanism_extras/ingot_naquadah	Naquadah Ingot	35.24	13.391	5.638		硬金属	5	
empty_crystal	goldentweaks:compat/mekmm/empty_crystal	Empty Crystal	46.86	37.488	23.856	削弱30%	超级宝石	2	偏高 0.55
uu_matter	goldentweaks:compat/mekmm/uu_matter	UU Matter	56.1	44.88	28.56		超级宝石	3	偏高 0.00
acacia_leaves	goldentweaks:compat/minecraft/acacia_leaves	Acacia Leaves					普通树叶		偏高 0.41
azalea_leaves	goldentweaks:compat/minecraft/azalea_leaves	Azalea Leaves					普通树叶		偏高 0.11
bamboo_handle	goldentweaks:compat/minecraft/bamboo_handle	Bamboo Handle					手柄	1	偏低 0.21
birch_leaves	goldentweaks:compat/minecraft/birch_leaves	Birch Leaves					普通树叶		偏低 0.06
bone_handle	goldentweaks:compat/minecraft/bone_handle	Bone Handle					手柄	1	偏高 0.48
breeze_rod	goldentweaks:compat/minecraft/breeze_rod	Breeze Rod					手柄	2	偏低 0.08
bricks	goldentweaks:compat/minecraft/bricks	Bricks	4.641	1.571	1.0		石头	1	偏低 0.40
calcite	goldentweaks:compat/minecraft/calcite	Calcite	6.399	2.166	1.378		石头	2	偏低 0.52
cherry_leaves	goldentweaks:compat/minecraft/cherry_leaves	Cherry Leaves					普通树叶		偏高 0.04
coal	goldentweaks:compat/minecraft/coal	Coal	6.468	5.174	3.293		宝石	1	偏高 0.55
crimson_roots	goldentweaks:compat/minecraft/crimson_roots	Crimson Roots					线	2	偏高 0.34
dark_oak_leaves	goldentweaks:compat/minecraft/dark_oak_leaves	Dark Oak Leaves					普通树叶		偏高 0.05
deepslate	goldentweaks:compat/minecraft/deepslate	Deepslate	4.866	1.647	1.048		石头	1	偏低 0.01
dripstone_block	goldentweaks:compat/minecraft/dripstone_block	Dripstone Block	5.189	1.756	1.118		石头	1	偏高 0.54
end_rod	goldentweaks:compat/minecraft/end_rod	End Rod					手柄	3	偏低 0.10
feather	goldentweaks:compat/minecraft/feather	Feather					花羽	1	偏高 0.52
flowering_azalea_leaves	goldentweaks:compat/minecraft/flowering_azalea_leaves	Flowering Azalea Leaves					普通树叶		偏高 0.32
glow_lichen	goldentweaks:compat/minecraft/glow_lichen	Glow Lichen					线	1	偏高 0.02
hanging_roots	goldentweaks:compat/minecraft/hanging_roots	Hanging Roots					线	1	偏高 0.40
jungle_leaves	goldentweaks:compat/minecraft/jungle_leaves	Jungle Leaves					普通树叶		偏高 0.15
mangrove_leaves	goldentweaks:compat/minecraft/mangrove_leaves	Mangrove Leaves					普通树叶		偏低 0.08
mossy_cobblestone	goldentweaks:compat/minecraft/mossy_cobblestone	Mossy Cobblestone	4.705	1.593	1.013		石头	1	偏低 0.29
nether_bricks	goldentweaks:compat/minecraft/nether_bricks	Nether Bricks	4.856	1.643	1.046		石头	1	偏低 0.03
oak_leaves	goldentweaks:compat/minecraft/oak_leaves	Oak Leaves					普通树叶		偏高 0.06
prismarine_crystals	goldentweaks:compat/minecraft/prismarine_crystals	Prismarine Crystals	12.144	9.715	6.182		宝石	3	偏高 0.55
prismarine_shard	goldentweaks:compat/minecraft/prismarine_shard	Prismarine Shard					碎片	1	偏高 0.55
rabbit_hide	goldentweaks:compat/minecraft/rabbit_hide	Rabbit Hide					革织	2	偏低 0.29
reinforced_deepslate	goldentweaks:compat/minecraft/reinforced_deepslate	Reinforced Deepslate	17.805	6.026	3.835		石头	5	偏低 0.18
spruce_leaves	goldentweaks:compat/minecraft/spruce_leaves	Spruce Leaves					普通树叶		偏高 0.05
sugar_cane_handle	goldentweaks:compat/minecraft/sugar_cane_handle	Sugar Cane Handle					手柄	1	偏高 0.35
tuff	goldentweaks:compat/minecraft/tuff	Tuff	4.696	1.589	1.011		石头	1	偏低 0.31
twisting_vines	goldentweaks:compat/minecraft/twisting_vines	Twisting Vines					线	2	偏低 0.54
vanilla_blaze_rod	goldentweaks:compat/minecraft/vanilla_blaze_rod	Vanilla Blaze Rod					手柄	2	偏高 0.07
warped_roots	goldentweaks:compat/minecraft/warped_roots	Warped Roots					线	2	偏低 0.02
weeping_vines	goldentweaks:compat/minecraft/weeping_vines	Weeping Vines					线	2	偏高 0.32
wheat	goldentweaks:compat/minecraft/wheat	Wheat					线	1	偏高 0.25
wood_cherry	goldentweaks:compat/minecraft/wood_cherry	Wood Cherry	5.818	4.028	1.231		普通木材	1	偏高 0.55
wood_mangrove	goldentweaks:compat/minecraft/wood_mangrove	Wood Mangrove	5.73	3.967	1.212		普通木材	1	偏高 0.41
wooden_stick	goldentweaks:compat/minecraft/wooden_stick	Wooden Stick					手柄	1	偏低 0.14
aluminum_alloy_ingot	goldentweaks:compat/neoecoae/aluminum_alloy_ingot	Aluminum Alloy Ingot	24.8	9.424	3.968		硬金属	4	
black_tungsten_alloy_ingot	goldentweaks:compat/neoecoae/black_tungsten_alloy_ingot	Black Tungsten Alloy Ingot	28.92	10.99	4.627		硬金属	4	
energized	goldentweaks:compat/neoecoae/energized	Energized Crystal	17.38	13.904	8.848		宝石	5	偏低 0.55
energized_fluix	goldentweaks:compat/neoecoae/energized_fluix	Energized Fluix Crystal	18.071	14.457	9.2		宝石	5	偏低 0.39
energized_superconductive_ingot	goldentweaks:compat/neoecoae/energized_superconductive_ingot	Energized Superconductive Ingot	37.04	14.075	5.926		硬金属	5	
tungsten	goldentweaks:compat/neoecoae/tungsten	Tungsten Ingot	18.24	6.931	2.918		硬金属	2	
bird_feather	goldentweaks:compat/neoguanniao/bird_feather	Bird Feather					花羽	2	偏低 0.03
argyre_leaves	goldentweaks:compat/northstar/argyre_leaves	Argyre Leaves					稀有树叶		偏低 0.20
argyre_planks	goldentweaks:compat/northstar/argyre_planks	Argyre Planks	11.468	6.659	2.035		异界木材	1	偏低 0.00
calorian_planks	goldentweaks:compat/northstar/calorian_planks	Calorian Planks	11.624	6.75	2.062		异界木材	1	偏高 0.11
coiler_leaves	goldentweaks:compat/northstar/coiler_leaves	Coiler Leaves					稀有树叶		偏低 0.04
coiler_planks	goldentweaks:compat/northstar/coiler_planks	Coiler Planks	18.633	12.9	3.942		稀有木材	1	偏高 0.20
dry_plant	goldentweaks:compat/northstar/dry_plant	Dry Plant Fiber					线	3	偏低 0.37
durable_fabric	goldentweaks:compat/northstar/durable_fabric	Durable Fabric					革织	2	偏高 0.10
glowing_venus_vines	goldentweaks:compat/northstar/glowing_venus_vines	Glowing Venus Vines					线	4	偏低 0.09
lunar_sapphire_shard	goldentweaks:compat/northstar/lunar_sapphire_shard	Lunar Sapphire Shard	19.452	15.562	9.903		宝石	5	偏低 0.08
mars_deep_stone	goldentweaks:compat/northstar/mars_deep_stone	Deep Mars Stone	9.045	3.061	1.948		石头	3	偏低 0.34
mars_palm	goldentweaks:compat/northstar/mars_palm	Mars Palm					花羽	5	偏高 0.20
mars_sprout	goldentweaks:compat/northstar/mars_sprout	Mars Sprout					花羽	5	偏高 0.31
mars_stone	goldentweaks:compat/northstar/mars_stone	Mars Stone	9.866	3.339	2.125		石头	3	偏高 0.39
mars_tulip	goldentweaks:compat/northstar/mars_tulip	Mars Tulip					花羽	5	偏高 0.31
martian_steel_ingot	goldentweaks:compat/northstar/martian_steel_ingot	Martian Steel Ingot	41.48	15.762	6.637		硬金属	6	
mercury_deep_stone	goldentweaks:compat/northstar/mercury_deep_stone	Deep Mercury Stone	17.302	5.856	3.727		石头	5	偏低 0.41
mercury_stone	goldentweaks:compat/northstar/mercury_stone	Mercury Stone	12.755	4.317	2.747		石头	4	偏低 0.16
moon_deep_stone	goldentweaks:compat/northstar/moon_deep_stone	Moon Deep Stone	9.938	3.364	2.141		石头	3	偏高 0.45
moon_stone	goldentweaks:compat/northstar/moon_stone	Moon Stone	8.858	2.998	1.908		石头	3	偏低 0.50
venus_deep_stone	goldentweaks:compat/northstar/venus_deep_stone	Deep Venus Stone	13.406	4.537	2.887		石头	4	偏高 0.26
venus_stone	goldentweaks:compat/northstar/venus_stone	Venus Stone	12.403	4.198	2.671		石头	4	偏低 0.38
venus_vines	goldentweaks:compat/northstar/venus_vines	Venus Vines					线	4	偏低 0.06
wilter_leaves	goldentweaks:compat/northstar/wilter_leaves	Wilter Leaves					稀有树叶		偏高 0.52
wilter_planks	goldentweaks:compat/northstar/wilter_planks	Wilter Planks	12.12	7.037	2.15		异界木材	1	偏高 0.47
copper_wire_powergrid	goldentweaks:compat/powergrid/copper_wire_powergrid	Copper Wire					线	2	偏低 0.44
golden_wire	goldentweaks:compat/powergrid/golden_wire	Golden Wire					线	4	偏高 0.02
iron_wire_powergrid	goldentweaks:compat/powergrid/iron_wire_powergrid	Iron Wire					线	3	偏高 0.05
reinforcedfiber	goldentweaks:compat/protection_pixel/reinforcedfiber	Reinforced Fiber					革织	2	偏高 0.13
flax	goldentweaks:compat/silentgear/flax	Flax Fiber					线	2	偏高 0.18
flax_string	goldentweaks:compat/silentgear/flax_string	Flax String					线	2	偏高 0.24
fluffy_fabric	goldentweaks:compat/silentgear/fluffy_fabric	Fluffy Fabric					革织	3	偏低 0.28
fluffy_feather	goldentweaks:compat/silentgear/fluffy_feather	Fluffy Feather					花羽	1	偏高 0.33
netherwood_leaves	goldentweaks:compat/silentgear/netherwood_leaves	Netherwood Leaves					异界树叶		偏高 0.53
netherwood_stick	goldentweaks:compat/silentgear/netherwood_stick	Netherwood Stick					手柄	1	偏高 0.28
stone_rod	goldentweaks:compat/silentgear/stone_rod	Stone Rod					手柄	1	偏低 0.30
reinforced_gold_rod	goldentweaks:compat/silentgems/reinforced_gold_rod	Reinforced Gold Rod					手柄	1	偏高 0.53
reinforced_silver_rod	goldentweaks:compat/silentgems/reinforced_silver_rod	Reinforced Silver Rod					手柄	1	偏高 0.35
rope_coupling	goldentweaks:compat/simulated/rope_coupling	Rope Coupling					线	1	偏低 0.55
black_resplendent_feather	goldentweaks:compat/spectral_decorations/black_resplendent_feather	Black resplendent Feather					花羽	4	偏高 0.00
blue_resplendent_feather	goldentweaks:compat/spectral_decorations/blue_resplendent_feather	Blue resplendent Feather					花羽	4	偏高 0.00
brown_resplendent_feather	goldentweaks:compat/spectral_decorations/brown_resplendent_feather	Brown resplendent Feather					花羽	4	偏高 0.00
cyan_resplendent_feather	goldentweaks:compat/spectral_decorations/cyan_resplendent_feather	Cyan resplendent Feather					花羽	4	偏高 0.00
gray_resplendent_feather	goldentweaks:compat/spectral_decorations/gray_resplendent_feather	Gray resplendent Feather					花羽	4	偏高 0.00
green_resplendent_feather	goldentweaks:compat/spectral_decorations/green_resplendent_feather	Green resplendent Feather					花羽	4	偏高 0.00
light_blue_resplendent_feather	goldentweaks:compat/spectral_decorations/light_blue_resplendent_feather	Light Blue resplendent Feather					花羽	4	偏高 0.00
light_gray_resplendent_feather	goldentweaks:compat/spectral_decorations/light_gray_resplendent_feather	Light Gray resplendent Feather					花羽	4	偏高 0.00
lime_resplendent_feather	goldentweaks:compat/spectral_decorations/lime_resplendent_feather	Lime resplendent Feather					花羽	4	偏高 0.00
magenta_resplendent_feather	goldentweaks:compat/spectral_decorations/magenta_resplendent_feather	Magenta resplendent Feather					花羽	4	偏高 0.00
orange_resplendent_feather	goldentweaks:compat/spectral_decorations/orange_resplendent_feather	Orange resplendent Feather					花羽	4	偏高 0.00
pink_resplendent_feather	goldentweaks:compat/spectral_decorations/pink_resplendent_feather	Pink resplendent Feather					花羽	4	偏高 0.00
purple_resplendent_feather	goldentweaks:compat/spectral_decorations/purple_resplendent_feather	Purple resplendent Feather					花羽	4	偏高 0.00
red_resplendent_feather	goldentweaks:compat/spectral_decorations/red_resplendent_feather	Red resplendent Feather					花羽	4	偏高 0.00
white_resplendent_feather	goldentweaks:compat/spectral_decorations/white_resplendent_feather	White resplendent Feather					花羽	4	偏高 0.00
yellow_resplendent_feather	goldentweaks:compat/spectral_decorations/yellow_resplendent_feather	Yellow resplendent Feather					花羽	4	偏高 0.00
amethyst_sugar_stick	goldentweaks:compat/spectrum/amethyst_sugar_stick	Amethyst Sugar Stick					手柄	4	偏低 0.04
bismuth_crystal	goldentweaks:compat/spectrum/bismuth_crystal	Bismuth Crystal	27.5	22.0	14.0	稀有宝石，增强2倍	超级宝石	1	偏高 0.00
black_leaves	goldentweaks:compat/spectrum/black_leaves	Black Leaves					染色树叶		偏高 0.00
black_planks	goldentweaks:compat/spectrum/black_planks	Black Planks	6.761	4.68	1.43		染色木材	1	偏低 0.31
blackslag	goldentweaks:compat/spectrum/blackslag	Blackslag	7.24	2.45	1.559		石头	2	偏高 0.51
blazing	goldentweaks:compat/spectrum/blazing	Blazing Crystal	6.732	5.386	3.427		宝石	2	偏低 0.55
blue_leaves	goldentweaks:compat/spectrum/blue_leaves	Blue Leaves					染色树叶		偏高 0.00
blue_planks	goldentweaks:compat/spectrum/blue_planks	Blue Planks	6.602	4.571	1.397		染色木材	1	偏低 0.50
brown_leaves	goldentweaks:compat/spectrum/brown_leaves	Brown Leaves					染色树叶		偏高 0.00
brown_planks	goldentweaks:compat/spectrum/brown_planks	Brown Planks	7.084	4.904	1.499		染色木材	1	偏高 0.08
chestnut_noxwood_planks	goldentweaks:compat/spectrum/chestnut_noxwood_planks	Chestnut Noxwood Planks	11.045	6.413	1.96		异界木材	1	偏低 0.31
citrine	goldentweaks:compat/spectrum/citrine	Citrine Shard	5.607	4.486	2.855		宝石	1	偏高 0.06
citrine_sugar_stick	goldentweaks:compat/spectrum/citrine_sugar_stick	Citrine Sugar Stick					手柄	4	偏高 0.16
cyan_leaves	goldentweaks:compat/spectrum/cyan_leaves	Cyan Leaves					染色树叶		偏高 0.00
cyan_planks	goldentweaks:compat/spectrum/cyan_planks	Cyan Planks	6.904	4.779	1.46		染色木材	1	偏低 0.14
downstone_fragments	goldentweaks:compat/spectrum/downstone_fragments	Downstone Fragments				稀有宝石，增强1.5倍	超级碎片	1	偏高 0.00
ebony_noxwood_planks	goldentweaks:compat/spectrum/ebony_noxwood_planks	Ebony Noxwood Planks	10.859	6.305	1.927		异界木材	1	偏低 0.44
frostbite	goldentweaks:compat/spectrum/frostbite	Frostbite Crystal	6.926	5.54	3.526		宝石	2	偏低 0.44
gray_leaves	goldentweaks:compat/spectrum/gray_leaves	Gray Leaves					染色树叶		偏高 0.00
gray_planks	goldentweaks:compat/spectrum/gray_planks	Gray Planks	7.209	4.991	1.525		染色木材	1	偏高 0.23
green_leaves	goldentweaks:compat/spectrum/green_leaves	Green Leaves					染色树叶		偏高 0.00
green_planks	goldentweaks:compat/spectrum/green_planks	Green Planks	7.343	5.084	1.553		染色木材	1	偏高 0.38
ivory_noxwood_planks	goldentweaks:compat/spectrum/ivory_noxwood_planks	Ivory Noxwood Planks	11.397	6.618	2.022		异界木材	1	偏低 0.05
jadeite_petals	goldentweaks:compat/spectrum/jadeite_petals	Jadeite Petals					花羽	3	偏高 0.43
light_blue_leaves	goldentweaks:compat/spectrum/light_blue_leaves	Light Blue Leaves					染色树叶		偏高 0.00
light_blue_planks	goldentweaks:compat/spectrum/light_blue_planks	Light Blue Planks	7.248	5.018	1.533		染色木材	1	偏高 0.27
light_gray_leaves	goldentweaks:compat/spectrum/light_gray_leaves	Light Gray Leaves					染色树叶		偏高 0.00
light_gray_planks	goldentweaks:compat/spectrum/light_gray_planks	Light Gray Planks	6.64	4.597	1.405		染色木材	1	偏低 0.45
lime_leaves	goldentweaks:compat/spectrum/lime_leaves	Lime Leaves					染色树叶		偏高 0.00
lime_planks	goldentweaks:compat/spectrum/lime_planks	Lime Planks	6.673	4.62	1.412		染色木材	1	偏低 0.41
magenta_leaves	goldentweaks:compat/spectrum/magenta_leaves	Magenta Leaves					染色树叶		偏高 0.00
magenta_planks	goldentweaks:compat/spectrum/magenta_planks	Magenta Planks	7.44	5.151	1.574		染色木材	1	偏高 0.50
marble	goldentweaks:compat/spectrum/marble	Basal Marble	19.263	6.52	4.149		石头	5	偏高 0.49
mermaids	goldentweaks:compat/spectrum/mermaids	Mermaid's Gem	7.313	5.85	3.723		宝石	2	偏低 0.22
midnight_chip	goldentweaks:compat/spectrum/midnight_chip	Midnight Chip					碎片	5	偏低 0.55
moonstone	goldentweaks:compat/spectrum/moonstone	Moonstone Shard	13.284	10.627	6.763		宝石	4	偏低 0.33
moonstone_sugar_stick	goldentweaks:compat/spectrum/moonstone_sugar_stick	Moonstone Sugar Stick					手柄	4	偏高 0.18
onyx	goldentweaks:compat/spectrum/onyx	Onyx Shard	19.8	15.84	10.08		宝石	5	偏高 0.55
onyx_sugar_stick	goldentweaks:compat/spectrum/onyx_sugar_stick	Onyx Sugar Stick					手柄	4	偏高 0.15
orange_leaves	goldentweaks:compat/spectrum/orange_leaves	Orange Leaves					染色树叶		偏高 0.00
orange_planks	goldentweaks:compat/spectrum/orange_planks	Orange Planks	7.07	4.895	1.496		染色木材	1	偏高 0.06
paltaeria	goldentweaks:compat/spectrum/paltaeria	Paltaeria Gem	18.762	15.009	9.551	宝石	宝石	5	偏低 0.24
paltaeria_fragments	goldentweaks:compat/spectrum/paltaeria_fragments	Paltaeria Fragments					碎片	4	偏低 0.55
pink_leaves	goldentweaks:compat/spectrum/pink_leaves	Pink Leaves					染色树叶		偏高 0.00
pink_planks	goldentweaks:compat/spectrum/pink_planks	Pink Planks	7.311	5.061	1.546		染色木材	1	偏高 0.34
pure_azurite	goldentweaks:compat/spectrum/pure_azurite	Pure Azurite	43.848	40.194	25.578	宝石	超级纯宝石	1	偏低 0.55
pure_bloodstone	goldentweaks:compat/spectrum/pure_bloodstone	Pure Bloodstone	52.497	48.122	30.623	宝石	超级纯宝石	1	偏高 0.55
pure_certus_quartz	goldentweaks:compat/spectrum/pure_certus_quartz	Pure Certus Quartz	18.241	16.721	10.641	宝石	纯宝石	3	偏低 0.55
pure_coal	goldentweaks:compat/spectrum/pure_coal	Pure Coal	12.387	11.354	7.225	宝石	纯宝石	2	偏低 0.55
pure_diamond	goldentweaks:compat/spectrum/pure_diamond	Pure Diamond	26.248	24.061	15.312	宝石	纯宝石	4	偏低 0.55
pure_echo	goldentweaks:compat/spectrum/pure_echo	Pure Echo	27.388	25.105	15.976	宝石	纯宝石	4	偏低 0.39
pure_emerald	goldentweaks:compat/spectrum/pure_emerald	Pure Emerald	28.527	26.15	16.641	宝石	纯宝石	4	偏低 0.24
pure_fluix	goldentweaks:compat/spectrum/pure_fluix	Pure Fluix Crystal	19.215	17.614	11.209	宝石	纯宝石	3	偏低 0.37
pure_glowstone	goldentweaks:compat/spectrum/pure_glowstone	Pure Glowstone	14.089	12.915	8.219	宝石	纯宝石	2	偏低 0.11
pure_lapis	goldentweaks:compat/spectrum/pure_lapis	Pure Lapis	13.237	12.135	7.722	宝石	纯宝石	2	偏低 0.33
